trial,x_location,y_location,z_location,speed,voltage,grad,force
133,15,0,-0.5,3,0.082978312,0.010518,-2.96
133,15,0,-0.5,3,0.087908635,-0.003944,-3.14
133,15,0,-0.5,3,0.075089795,-0.020543,-2.26
133,15,0,-0.5,3,0.046822607,-0.006574,-0.96
1765,15,0,-0.5,5,0.061942266,0.015613,-1.44
1765,15,0,-0.5,5,0.078047989,0.011175,-2.92
1765,15,0,-0.5,5,0.084293065,-0.011833,-3.1
1765,15,0,-0.5,5,0.054382437,-0.016927,-1.74
238,0,0,-0.6,5,0.050438178,0.00263,-1.66
238,0,0,-0.6,5,0.059641448,0.005423,-3.32
238,0,0,-0.6,5,0.061284889,-0.006902,-3.58
238,0,0,-0.6,5,0.045836543,-0.00493,-1.92
517,15,0,-0.5,2,0.051424243,0.010354,-1.08
517,15,0,-0.5,2,0.066543901,0.013969,-1.68
517,15,0,-0.5,2,0.079362742,0.011833,-2.46
517,15,0,-0.5,2,0.090209453,0.006245,-3.16
517,15,0,-0.5,2,0.091852894,-0.003451,-2.98
517,15,0,-0.5,2,0.083307,-0.018407,-2
517,15,0,-0.5,2,0.055039813,-0.019064,-1.44
517,15,0,-0.5,2,0.045179166,-0.005752,-0.58
1014,-15,0,-0.6,4,0.043535725,0,-0.68
1014,-15,0,-0.6,4,0.045179166,0.001808,-2.02
1014,-15,0,-0.6,4,0.047151296,-0.000493,-2.98
1014,-15,0,-0.6,4,0.044193102,-0.001808,-2.76
1014,-15,0,-0.6,4,0.043535725,0,-1.18
1245,0,0,-1.1,3,0.044193102,0.000822,-0.52
1245,0,0,-1.1,3,0.045179166,0.005423,-1.48
1245,0,0,-1.1,3,0.055039813,0.011833,-2.52
1245,0,0,-1.1,3,0.068844718,0.013148,-3.8
